otu1,otu2,otu3,otu4,otu5,otu6,otu7,otu8,otu9,otu10,otu11,otu12,otu13,otu14,otu15,otu16,otu17,otu18,otu19,otu20,otu21,otu22,otu23,otu24,otu25,otu26,otu27,otu28,otu29,otu30,otu31,otu32,otu33,otu34,otu35,otu36,otu37,otu38,otu39,otu40,otu41,otu42,otu43,otu44,otu45,otu46,otu47,otu48,otu49,otu50,otu51,otu52,otu53,otu54,otu55,otu56,otu57,otu58,otu59,otu60,otu61,otu62,otu63,otu64,otu65,otu66,otu67,otu68,otu69,otu70,otu71,otu72,otu73,otu74,otu75,otu76,otu77,otu78,otu79,otu80
0,0,0,0,1,0,0,3281,0,0,89,921,0,0,0,505,0,0,0,1,0,0,0,0,5,0,1,2,0,0,0,0,3,0,29,0,0,8,22,0,0,72,0,0,0,26,8,211,0,60,0,0,59,0,0,55,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1557,128,28,0,46,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29,0,0,6,8,0,0,130,0,0,0,3,2,51,0,40,14,0,80,11,0,21,24,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3508,245,53,217,421,1,0,0,854,0,0,0,0,0,1,0,0,8,3,0,0,0,1,0,1,3,3,108,0,0,56,10,0,0,439,0,0,0,4,15,859,0,493,0,0,434,0,0,145,0,0,0,66,0,0,0,0,0,5,0,0,0,0,23,0,13,0,0,4,0,0,0,0
0,0,0,0,0,0,0,6535,0,0,370,584,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,114,0,0,3,75,0,0,127,0,0,1,27,5,1220,0,39,17,0,30,0,0,524,0,0,0,0,0,0,0,0,1,5,0,0,0,0,98,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1611,27,2,6,131,0,17,9623,32,0,0,1,0,0,0,0,0,1,4,0,25,0,0,0,0,0,0,93,0,0,11,26,0,0,3,0,0,0,0,1,328,0,15,0,0,115,0,2,0,0,0,0,0,0,2,0,16,0,0,1,0,0,0,1,204,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5792,263,76,87,486,0,0,1,66,0,0,0,0,0,0,1,0,0,233,1,0,0,0,0,0,3,0,145,0,0,21,44,0,0,902,0,0,0,2,10,481,0,96,20,0,277,0,0,71,0,0,0,9,0,1,0,0,2,4,0,6,9,0,58,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2853,409,69,34,48,0,0,0,307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,0,14,6,0,0,68,0,0,0,1,2,160,0,175,35,0,247,0,0,0,0,0,0,333,0,1,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6619,915,98,251,644,0,0,0,488,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,49,0,0,99,51,0,0,40,0,0,1,1,2,301,0,66,144,0,45,49,0,0,0,0,0,78,0,0,0,0,0,8,0,3,0,0,64,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6382,0,0,264,221,0,0,0,200,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,56,0,0,21,0,0,0,195,0,0,0,4,5,0,0,14,688,0,152,276,0,90,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,107,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4350,563,46,136,328,0,0,0,649,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,95,0,0,73,33,0,0,84,0,0,4,1,8,593,0,169,98,0,122,0,0,37,0,0,0,0,0,2,0,0,0,1,0,0,0,0,151,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5665,0,87,70,653,0,0,0,309,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,5,0,96,0,1,171,32,0,0,50,0,0,0,5,3,495,1,103,283,0,146,0,0,56,0,0,0,0,0,1,0,0,109,0,0,1,0,0,116,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,2800,2,0,4,1144,0,0,1,94,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,20,0,0,0,3,0,0,12,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,2,0,63,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7463,309,0,71,677,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,62,0,0,80,15,0,0,196,0,0,0,1,2,40,0,45,0,0,17,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1519,129,32,132,95,0,0,5997,121,0,0,0,2,0,0,0,0,13,4,0,45,0,0,0,0,1,0,178,0,0,476,131,0,1,335,2,0,1,1,0,378,0,181,7,0,54,0,0,0,0,0,0,0,0,4,0,45,0,2,0,2,0,0,82,0,0,0,0,0,0,0,0,0
0,1,0,2,0,0,0,3134,72,69,57,769,0,62,34,590,0,0,0,0,0,0,0,1,5,4,1,130,0,0,0,0,47,2,78,0,0,21,134,0,0,38,0,0,1,48,0,69,0,591,51,0,44,23,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5821,0,0,0,169,0,0,1,199,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,146,0,0,266,20,1,0,1009,0,0,1,2,3,464,1,102,101,0,0,0,0,192,0,0,0,0,0,11,0,0,27,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7731,214,15,247,509,0,0,0,1680,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,146,0,0,20,33,0,0,7,0,0,0,1,5,498,0,33,13,0,142,66,4,2,0,0,0,7,0,1,0,0,0,7,0,7,0,0,0,9,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1592,21,72,153,884,1,59,208,411,0,0,0,0,0,194,0,0,1,0,0,287,1,1,0,0,20,3,201,1,0,90,20,0,0,205,0,1,0,3,3,472,0,716,245,0,54,0,0,0,0,1,0,0,0,1,0,10,23,3,0,0,0,0,4,0,5,0,0,0,0,0,5,0
